Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
06/18/2026 10:00 AM ET,"10006 SEYMOUR WAY TAMPA, FL- 33626","$808,388.69","$598,589.00","$750,000.00",292023CA013884A001HC,17281605Y000012000030U,https://hillsborough.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=292023CA013884A001HC&bypassPage=1,https://pcpao.gov/Parcel-Details/17281605Y000012000030U
06/18/2026 10:00 AM ET,"5223 PRESIDENTIAL ST SEFFNER, FL- 33584","$38,301.63","$253,252.00",Hidden,292025CA006312A001HC,20290427Y000002000460U,https://hillsborough.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=292025CA006312A001HC&bypassPage=1,https://pcpao.gov/Parcel-Details/20290427Y000002000460U
06/19/2026 10:00 AM ET,"1912 E HAMILTON AVE TAMPA, FL- 33610","$74,745.02","$213,849.00",Hidden,292023CA013967A001HC,19283046N000007000230A,https://hillsborough.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=292023CA013967A001HC&bypassPage=1,https://pcpao.gov/Parcel-Details/19283046N000007000230A
06/19/2026 10:00 AM ET,"10119 PARLEY DR TAMPA, FL- 33626","$616,242.48","$678,069.00","$653,207.68",292024CA003708A001HC,17281605Y000016000090U,https://hillsborough.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=292024CA003708A001HC&bypassPage=1,https://pcpao.gov/Parcel-Details/17281605Y000016000090U
06/19/2026 10:00 AM ET,"18108 NASSAU POINT DR TAMPA, FL- 33647","$22,072.77","$275,401.00","$23,319.47",292024CC066910A001HC,2027105ZV000004000040A,https://hillsborough.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=292024CC066910A001HC&bypassPage=1,https://pcpao.gov/Parcel-Details/2027105ZV000004000040A
06/19/2026 10:00 AM ET,"1306 GARDEN STONE LN BRANDON, FL- 33510","$7,887.37","$450,109.00","$4,178.70",292025CC029228A001HC,Property,https://hillsborough.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=292025CC029228A001HC&bypassPage=1,https://pcpao.gov/Parcel-Details/Property
06/19/2026 10:00 AM ET,"14125 WATERVILLE CIR TAMPA, FL- 33626","$11,143.44","$382,776.00","$9,881.59",292025CC030687A001HC,Property,https://hillsborough.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=292025CC030687A001HC&bypassPage=1,https://pcpao.gov/Parcel-Details/Property
06/19/2026 10:00 AM ET,"3166 VALLEY OAKS DR TAMPA, FL- 33618","$12,622.92","$201,228.00","$13,978.17",292025CC058614A001HC,1828030U8000000004010U,https://hillsborough.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=292025CC058614A001HC&bypassPage=1,https://pcpao.gov/Parcel-Details/1828030U8000000004010U
06/22/2026 10:00 AM ET,"13712 HALLIFORD DR TAMPA, FL- 33624","$1,007,214.37","$651,701.00",Hidden,292019CA001167A001HC,1828060WR000002000120U,https://hillsborough.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=292019CA001167A001HC&bypassPage=1,https://pcpao.gov/Parcel-Details/1828060WR000002000120U
06/22/2026 10:00 AM ET,"6608 NORTHHAVEN CT RIVERVIEW, FL- 33578","$346,556.61","$216,588.00","$295,000.00",292020CA000226A001HC,2030085HKD00000000350U,https://hillsborough.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=292020CA000226A001HC&bypassPage=1,https://pcpao.gov/Parcel-Details/2030085HKD00000000350U
06/22/2026 10:00 AM ET,"3532 JOHN MOORE RD BRANDON, FL- 33511","$206,690.82","$350,754.00",Hidden,292022CA005816A001HC,203011ZZZ000002872400U,https://hillsborough.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=292022CA005816A001HC&bypassPage=1,https://pcpao.gov/Parcel-Details/203011ZZZ000002872400U
06/22/2026 10:00 AM ET,"1009 E NORTH BAY ST TAMPA, FL- 33603","$227,250.24","$203,837.00","$166,460.00",292023CA017319A001HC,1929064LN000000000080A,https://hillsborough.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=292023CA017319A001HC&bypassPage=1,https://pcpao.gov/Parcel-Details/1929064LN000000000080A
